YYYY;MM;DD;qobs;qc_flag
1983;5;16;25.41;40
1983;5;17;26.54;40
1983;5;18;27.12;40
1983;5;19;27.12;40
1983;5;20;28.31;40
1983;5;21;29.2;40
1983;5;22;27.71;40
1983;5;23;31.02;40
1983;5;24;31.02;40
1983;5;25;24.86;40
1983;5;26;25.97;40
1983;5;27;32.9;40
1983;5;28;35.83;40
1983;5;29;46.59;40
1983;5;30;48.93;40
1983;5;31;37.86;40
1983;6;1;34.84;40
1983;6;2;44.11;120
1983;6;3;45.32;120
1983;6;4;31.02;40
1983;6;5;39.96;40
1983;6;6;60.21;40
1983;6;7;53.79;40
1983;6;8;51.33;40
1983;6;9;56.31;40
1983;6;10;65.63;40
1983;6;11;103.53;40
1983;6;12;116.15;120
1983;6;13;107.08;120
1983;6;14;99.09;120
1983;6;15;95.19;120
1983;6;16;93.6;120
1983;6;17;96.93;120
1983;6;18;102.36;120
1983;6;19;86.61;40
1983;6;20;106.48;120
1983;6;21;115.73;120
1983;6;22;126.02;120
1983;6;23;124.54;120
1983;6;24;129.42;120
1983;6;25;137.92;120
1983;6;26;133.97;120
1983;6;27;127.03;120
1983;6;28;120.74;120
1983;6;29;116.89;120
1983;6;30;111.73;120
1983;7;1;107.71;120
1983;7;2;103.93;120
1983;7;3;96.75;120
1983;7;4;78.76;40
1983;7;5;77.23;40
1983;7;6;68.43;40
1983;7;7;65.63;40
1983;7;8;67.02;40
1983;7;9;65.63;40
1983;7;10;62.89;40
1983;7;11;60.21;40
1983;7;12;61.54;40
1983;7;13;71.3;40
1983;7;14;69.86;40
1983;7;15;65.63;40
1983;7;16;64.25;40
1983;7;17;61.54;40
1983;7;18;57.59;40
1983;7;19;55.04;40
1983;7;20;72.76;40
1983;7;21;71.3;40
1983;7;22;64.25;40
1983;7;23;62.89;40
1983;7;24;62.89;40
1983;7;25;62.89;40
1983;7;26;75.73;40
1983;7;27;69.86;40
1983;7;28;74.24;40
1983;7;29;78.76;40
1983;7;30;71.3;40
1983;7;31;62.89;40
1983;8;1;58.89;40
1983;8;2;58.89;40
1983;8;3;62.89;40
1983;8;4;60.21;40
1983;8;5;58.89;40
1983;8;6;64.25;40
1983;8;7;62.89;40
1983;8;8;75.73;40
1983;8;9;85.01;40
1983;8;10;80.29;40
1983;8;11;75.73;40
1983;8;12;68.43;40
1983;8;13;65.63;40
1983;8;14;68.43;40
1983;8;15;65.63;40
1983;8;16;60.21;40
1983;8;17;60.21;40
1983;8;18;61.54;40
1983;8;19;60.21;40
1983;8;20;60.21;40
1983;8;21;56.31;40
1983;8;22;48.93;40
1983;8;23;48.93;40
1983;8;24;64.25;40
1983;8;25;58.89;40
1983;8;26;57.59;40
1983;8;27;68.43;40
1983;8;28;75.73;40
1983;8;29;57.59;40
1983;8;30;50.12;40
1983;8;31;45.45;40
1983;9;1;41.02;40
1983;9;2;38.9;40
1983;9;3;37.86;40
1983;9;4;34.84;40
1983;9;5;33.86;40
1983;9;6;31.02;40
1983;9;7;29.2;40
1983;9;8;31.02;40
1983;9;9;27.12;40
1983;9;10;26.54;40
1983;9;11;25.97;40
1983;9;12;27.71;40
1983;9;13;30.11;40
1983;9;14;31.02;40
1983;9;15;31.96;40
1983;9;16;27.12;40
1983;9;17;25.97;40
1983;9;18;25.41;40
1983;9;19;25.41;40
1983;9;20;24.32;40
1983;9;21;24.32;40
1983;9;22;23.26;40
1983;9;23;23.26;40
1983;9;24;25.41;40
1983;9;25;37.86;40
1983;9;26;25.97;40
1983;9;27;23.26;40
1983;9;28;22.25;40
1983;9;29;21.76;40
1983;9;30;21.76;40
1983;10;1;22.75;40
1983;10;2;24.86;40
1983;10;3;43.21;40
1983;10;4;33.86;40
1983;10;5;27.12;40
1983;10;6;37.86;40
1983;10;7;33.86;40
1983;10;8;27.12;40
1983;10;9;27.71;40
1983;10;10;27.71;40
1983;10;11;25.41;40
1983;10;12;23.79;40
1983;10;13;23.26;40
1983;10;14;21.76;40
1983;10;15;21.27;40
1983;10;16;19.87;40
1983;10;17;20.33;40
1983;10;18;19.87;40
1983;10;19;21.27;40
1983;10;20;20.8;40
1983;10;21;27.71;40
1983;10;22;48.93;40
1983;10;23;29.2;40
1983;10;24;26.54;40
1983;10;25;25.41;40
1983;10;26;24.32;40
1983;10;27;22.75;40
1983;10;28;23.26;40
1983;10;29;26.54;40
1983;10;30;29.2;40
1983;10;31;30.11;40
1983;11;1;25.0;120
1983;11;2;24.66;120
1983;11;3;24.58;120
1983;11;4;24.47;120
1983;11;5;24.35;120
1983;11;6;24.24;120
1983;11;7;24.09;120
1983;11;8;23.97;120
1983;11;9;23.85;120
1983;11;10;23.73;120
1983;11;11;23.26;40
1983;11;12;23.79;40
1983;11;13;31.96;40
1983;11;14;38.9;40
1983;11;15;36.84;40
1983;11;16;32.9;40
1983;11;17;27.71;40
1983;11;18;28.31;40
1983;11;19;33.01;120
1983;11;20;28.82;120
1983;11;21;24.86;40
1983;11;22;24.32;40
1983;11;23;30.11;40
1983;11;24;46.59;40
1983;11;25;26.54;40
1983;11;26;23.79;40
1983;11;27;23.93;120
1983;11;28;23.86;120
1983;11;29;23.83;120
1983;11;30;23.8;120
1983;12;1;24.41;120
1983;12;2;37.86;40
1983;12;3;30.11;40
1983;12;4;27.12;40
1983;12;5;24.86;40
1983;12;6;24.32;40
1983;12;7;61.54;40
1983;12;8;41.02;40
1983;12;9;30.11;40
1983;12;10;24.32;40
1983;12;11;25.89;120
1983;12;12;25.38;120
1983;12;13;22.25;40
1983;12;14;25.97;40
1983;12;15;24.86;40
1983;12;16;23.16;120
1983;12;17;22.82;120
1983;12;18;22.68;120
1983;12;19;22.57;120
1983;12;20;22.46;120
1983;12;21;22.35;120
1983;12;22;22.23;120
1983;12;23;22.12;120
1983;12;24;22.02;120
1983;12;25;21.9;120
1983;12;26;21.79;120
1983;12;27;21.68;120
1983;12;28;21.58;120
1983;12;29;21.47;120
1983;12;30;21.36;120
1983;12;31;21.26;120
1984;1;1;21.15;120
1984;1;2;21.04;120
1984;1;3;20.94;120
1984;1;4;20.83;120
1984;1;5;20.73;120
1984;1;6;20.62;120
1984;1;7;20.52;120
1984;1;8;20.42;120
1984;1;9;20.32;120
1984;1;10;20.21;120
1984;1;11;20.11;120
1984;1;12;20.01;120
1984;1;13;19.91;120
1984;1;14;19.82;120
1984;1;15;19.71;120
1984;1;16;19.62;120
1984;1;17;19.52;120
1984;1;18;19.42;120
1984;1;19;19.32;120
1984;1;20;19.23;120
1984;1;21;19.13;120
1984;1;22;19.03;120
1984;1;23;18.94;120
1984;1;24;16.3;100
1984;1;25;16.3;100
1984;1;26;16.3;40
1984;1;27;16.3;100
1984;1;28;16.3;100
1984;1;29;18.38;120
1984;1;30;18.29;120
1984;1;31;18.2;120
1984;2;1;18.11;120
1984;2;2;18.02;120
1984;2;3;17.93;120
1984;2;4;17.84;120
1984;2;5;17.75;120
1984;2;6;17.67;120
1984;2;7;17.57;120
1984;2;8;17.48;120
1984;2;9;17.4;120
1984;2;10;17.42;120
1984;2;11;18.13;120
1984;2;12;18.45;120
1984;2;13;18.31;120
1984;2;14;18.03;120
1984;2;15;17.79;120
1984;2;16;17.54;120
1984;2;17;17.29;120
1984;2;18;17.06;120
1984;2;19;16.92;120
1984;2;20;16.8;120
1984;2;21;22.25;40
1984;2;22;21.76;40
1984;2;23;21.76;40
1984;2;24;48.93;40
1984;2;25;130.0;40
1984;2;26;69.86;40
1984;2;27;31.02;40
1984;2;28;23.26;40
1984;2;29;21.76;40
1984;3;1;21.76;40
1984;3;2;21.76;40
1984;3;3;21.76;40
1984;3;4;21.76;40
1984;3;5;20.8;40
1984;3;6;20.33;40
1984;3;7;20.8;40
1984;3;8;22.75;40
1984;3;9;24.86;40
1984;3;10;30.11;40
1984;3;11;35.83;40
1984;3;12;30.11;40
1984;3;13;24.32;40
1984;3;14;21.76;40
1984;3;15;21.76;40
1984;3;16;19.87;40
1984;3;17;19.43;40
1984;3;18;20.33;40
1984;3;19;16.51;40
1984;3;20;18.13;40
1984;3;21;18.55;40
1984;3;22;17.31;40
1984;3;23;16.51;40
1984;3;24;17.31;40
1984;3;25;18.13;40
1984;3;26;17.71;40
1984;3;27;15.02;40
1984;3;28;16.91;40
1984;3;29;18.99;40
1984;3;30;19.87;40
1984;3;31;16.91;40
1984;4;1;16.13;40
1984;4;2;18.55;40
1984;4;3;25.41;40
1984;4;4;32.9;40
1984;4;5;30.11;40
1984;4;6;24.86;40
1984;4;7;20.8;40
1984;4;8;18.55;40
1984;4;9;18.55;40
1984;4;10;18.13;40
1984;4;11;18.13;40
1984;4;12;16.91;40
1984;4;13;16.91;40
1984;4;14;16.51;40
1984;4;15;16.51;40
1984;4;16;16.13;40
1984;4;17;16.13;40
1984;4;18;15.75;40
1984;4;19;15.75;40
1984;4;20;15.38;40
1984;4;21;15.02;40
1984;4;22;15.02;40
1984;4;23;15.02;40
1984;4;24;19.87;40
1984;4;25;37.86;40
1984;4;26;61.54;40
1984;4;27;58.89;40
1984;4;28;51.33;40
1984;4;29;37.86;40
1984;4;30;28.31;40
1984;5;1;25.41;40
1984;5;2;23.79;40
1984;5;3;22.25;40
1984;5;4;21.76;40
1984;5;5;20.33;40
1984;5;6;20.33;40
1984;5;7;20.33;40
1984;5;8;27.12;40
1984;5;9;34.84;40
1984;5;10;37.86;40
1984;5;11;60.21;40
1984;5;12;58.89;40
1984;5;13;55.04;40
1984;5;14;46.59;40
1984;5;15;41.02;40
1984;5;16;33.86;40
1984;5;17;34.84;40
